,pwr,vcc,icq
1294,19,2800,14431
1295,18,2800,14431
1296,17,2300,12379
1297,16,2300,12379
1298,15,2300,12379
1299,14,2300,9305
1300,13,1800,9305
1301,12,1800,9305
1302,11,1300,9303
1303,10,1300,9303
1304,9,1000,8596
1305,8,1000,8596
1306,26,4500,13407
1307,25,3800,13407
1308,24,3600,14431
1309,23,3400,14431
1310,22,3200,14431
1311,21,3000,14431
1312,20,2800,14431
1313,19,2800,14431
1314,18,2800,14431
1315,17,2800,13567
1316,16,2800,13567
1317,15,2800,13567
1318,14,2800,11519
1319,13,2800,8447
1320,12,2800,8447
1321,11,1500,48223
1322,10,1300,48223
1323,9,1000,48223
1324,8,1000,48223
1325,7,1000,48223
1326,6,1000,48223
1327,5,1000,48223
1328,4,1000,48223
1329,3,1000,48223
1330,2,1000,48223
1331,26,4500,13423
1332,25,3800,13407
1333,24,3600,13407
1334,23,3400,13407
1335,22,3200,13407
1336,21,3000,13407
1337,20,2800,13407
1338,19,2800,14431
1339,18,2800,14431
1340,17,2300,12379
1341,16,2300,12379
1342,15,2300,12379
1343,14,2300,9305
1344,13,1800,9305
1345,12,1800,9305
1346,11,1300,9303
1347,10,1300,9303
1348,9,1000,8596
1349,8,1000,8596
1350,26,4500,13407
1351,25,3800,13407
1352,24,3600,14431
1353,23,3400,14431
1354,22,3200,14431
1355,21,3000,14431
